Country,Environmental_Performance_Index,IHDI_Inequality_adjusted_HDI_value,GII_Gender_Inequality_Index_value,GNI_Gross_National_Income,SUM,Overall_loss_percent,,continent_region
Albania,71.4,0.637,0.271,"7,803",7875.308,13.80243572,,Europe
Argentina,61,0.641,0.372,"14,527",14589.013,19.57340025,,Americas
Armenia,60.4,0.639,0.343,"5,188",5249.382,10.75418994,,Europe
Australia,65.7,0.856,0.136,"34,431",34497.692,7.857911733,,Oceania
Austria,78.1,0.82,0.131,"35,719",35798.051,7.344632768,,Europe
Azerbaijan,59.1,0.62,0.314,"8,666",8726.034,11.42857143,,Asia
Bangladesh,44,0.363,0.55,"1,529",1573.913,27.4,,Asia
Belgium,58.1,0.819,0.114,"33,357",33416.033,7.562076749,,Europe
Benin,39.6,0.274,0.634,"1,364",1404.508,35.83138173,,Africa
Bolivia ,44.3,0.437,0.476,"4,054",4099.213,34.08748115,,Americas
Brazil,63.4,0.519,0.449,"10,162",10226.368,27.71587744,,Americas
Bulgaria,62.5,0.683,0.245,"11,412",11475.428,11.41374838,,Europe
Burkina Faso,47.3,0.215,0.596,"1,141",1189.111,35.04531722,,Africa
Cambodia,41.7,0.38,0.5,"1,848",1890.58,27.34225621,,Asia
Cameroon,44.6,0.321,0.639,"2,031",2076.56,33.40248963,,Africa
Canada,66.4,0.829,0.14,"35,166",35233.369,8.700440529,,Americas
Central African Republic,33.3,0.204,0.669,707,741.173,40.52478134,,Africa
Chad,40.8,0.196,0.735,"1,105",1146.731,40.24390244,,Africa
Chile,73.3,0.652,0.374,"13,329",13403.326,19.00621118,,Americas
China,49,0.534,0.209,"7,476",7525.743,22.27074236,,Asia
Colombia,76.8,0.479,0.482,"8,315",8392.761,32.53521127,,Americas
Congo,54,0.367,0.628,"3,066",3120.995,31.14446529,,Africa
DR Congo,51.6,0.172,0.71,280,332.482,39.86013986,,Africa
Costa Rica,86.4,0.591,0.361,"10,497",10584.352,20.56451613,,Americas
Croatia,68.7,0.675,0.17,"15,729",15798.545,15.20100503,,Europe
Cyprus,56.3,0.755,0.141,"24,841",24898.196,10.11904762,,Europe
Czech Republic,71.6,0.821,0.136,"21,405",21477.557,5.086705202,,Europe
Cote d'Ivoire,54.3,0.246,0.655,"1,387",1442.201,38.5,,Africa
Denmark,69.2,0.842,0.06,"34,347",34417.102,5.921787709,,Europe
Dominican Republic,68.4,0.51,0.48,"8,087",8156.39,25.9796807,,Americas
Ecuador,69.3,0.535,0.469,"7,589",7659.304,25.69444444,,Americas
El Salvador,69.1,0.495,0.487,"5,925",5995.082,26.5578635,,Americas
Estonia,63.8,0.769,0.194,"16,799",16863.763,7.904191617,,Europe
Finland,74.7,0.833,0.075,"32,438",32513.608,5.555555556,,Europe
France,78.2,0.804,0.106,"30,462",30541.11,9.049773756,,Europe
Gabon,56.4,0.543,0.509,"12,249",12306.452,19.43620178,,Africa
Georgia,63.6,0.63,0.418,"4,780",4844.648,14.05184175,,Asia
Germany,73.2,0.842,0.085,"34,854",34928.127,6.961325967,,Europe
Ghana,51.3,0.367,0.598,"1,584",1636.265,32.16266174,,Africa
Greece,60.9,0.756,0.162,"23,747",23808.818,12.19512195,,Europe
Guatemala,54,0.393,0.542,"4,167",4221.935,31.53310105,,Americas
Guyana,59.2,0.492,0.511,"3,192",3252.203,22.27488152,,Africa
Haiti,39.5,0.271,0.599,"1,123",1163.37,40.30837004,,Americas
Honduras,49.9,0.427,0.511,"3,443",3493.838,31.68,,Americas
Hungary,69.1,0.759,0.237,"16,581",16651.096,6.985294118,,Europe
Iceland,93.5,0.845,0.099,"29,354",29448.444,5.902004454,,Europe
India,48.3,0.392,0.617,"3,468",3517.309,28.33638026,,Asia
Indonesia,44.6,0.504,0.505,"3,716",3761.609,18.31442464,,Asia
Ireland,67.1,0.843,0.203,"29,322",29390.146,7.158590308,,Europe
Israel,62.4,0.779,0.145,"25,849",25912.324,12.27477477,,Asia
Italy,73.1,0.779,0.124,"26,484",26558.003,10.86956522,,Europe
Jamaica,58,0.61,0.45,"6,487",6546.06,16.09353508,,Americas
Jordan,56.1,0.565,0.456,"5,300",5357.121,19.05444126,,Asia
Kazakhstan,57.3,0.656,0.334,"10,585",10643.29,11.94630872,,Asia
Kenya,51.4,0.338,0.627,"1,492",1544.365,33.59528487,,Africa
South Korea,57,0.749,0.111,"28,230",28287.86,16.49944259,,Asia
Kyrgyzstan,59.7,0.526,0.37,"2,036",2096.596,14.47154472,,Asia
Laos,59.6,0.405,0.513,"2,242",2302.518,22.70992366,,Asia
Latvia,72.5,0.717,0.216,"14,293",14366.433,10.93167702,,Europe
Lebanon,57.9,0.57,0.44,"13,076",13134.91,22.86874154,,Asia
Libya,50.1,..,0.314,"12,637",12687.414,..,,Africa
Lithuania,68.3,0.73,0.192,"16,234",16303.222,9.87654321,,Europe
Luxembourg,67.8,0.799,0.169,"50,557",50625.768,7.843137255,,Europe
Malawi,51.4,0.272,0.594,753,805.266,32,,Africa
Maldives,65.9,0.495,0.32,"5,276",5342.715,25.11346445,,Africa
Mauritania,33.7,0.298,0.605,"1,859",1893.603,34.21633554,,Africa
Mauritius,80.6,0.631,0.353,"12,918",12999.584,13.32417582,,Africa
Mexico,67.3,0.589,0.448,"13,245",13313.337,23.50649351,,Americas
Moldova,58.8,0.569,0.298,"3,058",3117.667,12.32665639,,Europe
Mongolia,42.8,0.563,0.41,"3,391",3434.773,13.78254211,,Asia
Morocco,65.6,0.409,0.51,"4,196",4262.519,29.72508591,,Europe
Mozambique,51.2,0.229,0.602,898,950.031,28.88198758,,Africa
Namibia,59.3,0.353,0.466,"6,206",6266.119,43.52,,Africa
Nepal,68.2,0.301,0.558,"1,160",1229.059,34.27947598,,Asia
Netherlands,66.4,0.846,0.052,"36,402",36469.298,7.032967033,,Europe
Nicaragua,57.1,0.427,0.506,"2,430",2488.033,27.50424448,,Americas
Niger,37.6,0.195,0.724,641,679.519,33.89830508,,Africa
Norway,81.1,0.89,0.075,"47,557",47639.065,5.620360551,,Europe
Pakistan,48,0.346,0.573,"2,550",2598.919,31.34920635,,Asia
Panama,71.4,0.579,0.492,"12,335",12407.471,24.609375,,Americas
Paraguay,63.5,0.505,0.476,"4,727",4791.481,24.06015038,,Americas
Peru,69.3,0.557,0.415,"8,389",8459.272,23.17241379,,Americas
Philippines,65.7,0.516,0.427,"3,478",3544.643,19.8757764,,Asia
Poland,63.1,0.734,0.164,"17,451",17514.998,9.717097171,,Europe
Portugal,73,0.726,0.14,"20,573",20646.866,10.25957973,,Europe
Romania,67,0.683,0.333,"11,046",11114.016,12.54801536,,Europe
Russia,61.2,0.67,0.338,"14,561",14623.208,11.25827815,,Europe
Rwanda,44.6,0.276,0.453,"1,133",1178.329,35.66433566,,Africa
Senegal,42.3,0.304,0.566,"1,708",1751.17,33.76906318,,Africa
Sierra Leone,32.1,0.196,0.662,737,769.958,41.66666667,,Africa
Slovakia,74.5,0.787,0.194,"19,998",20073.481,5.635491607,,Europe
Slovenia,65,0.837,0.175,"24,914",24980.012,5.316742081,,Europe
Spain,70.6,0.799,0.117,"26,508",26579.516,8.997722096,,Europe
Sri Lanka,63.7,0.579,0.419,"4,943",5007.698,16.20839363,,Asia
Swaziland,54.4,0.338,0.546,"4,484",4539.284,35.24904215,,Africa
Sweden,86,0.851,0.049,"35,837",35923.9,5.862831858,,Europe
Switzerland,89.1,0.84,0.067,"39,924",40014.007,6.976744186,,Europe
Syria,64.6,0.503,0.474,"4,243",4308.577,20.41139241,,Asia
Tajikistan,51.3,0.5,0.347,"1,937",1989.147,17.6276771,,Asia
Tanzania,47.9,0.332,0.59,"1,328",1376.822,28.75536481,,Africa
Thailand,62.2,0.537,0.382,"7,694",7757.119,21.26099707,,Asia
Macedonia,60.6,0.609,0.151,"8,804",8865.36,16.34615385,,Europe
Togo,36.4,0.289,0.602,798,835.291,33.56321839,,Africa
Trinidad & Tobago,54.2,0.644,0.331,"23,439",23494.175,15.26315789,,Americas
Tunisia,60.6,0.523,0.293,"7,281",7342.416,25.07163324,,Africa
Turkey,60.4,0.542,0.443,"12,246",12307.385,22.46065808,,Europe
Uganda,49.8,0.296,0.577,"1,124",1174.673,33.632287,,Africa
Ukraine,58.2,0.662,0.335,"6,175",6234.197,9.190672154,,Europe
United Kingdom,74.2,0.791,0.209,"33,296",33371.2,8.342989571,,Europe
United States,63.5,0.771,0.299,"43,017",43081.57,15.27472527,,Americas
Uruguay,59.1,0.654,0.352,"13,242",13302.106,16.47509579,,Americas
